Road_ID,Length,Numberof_Bends,Trafficvolume,AccidentRisk
R1,7,5,783,Medium
R2,15,5,971,Low
R3,11,9,825,Low
R4,8,3,646,Medium
R5,7,5,838,Medium
R6,19,1,712,Medium
R7,11,9,561,High
R8,11,1,742,Medium
R9,4,9,868,High
R10,8,3,104,Low
R11,3,7,317,High
R12,2,6,602,Medium
R13,12,8,866,Low
R14,6,7,497,Low
R15,2,4,970,Low
R16,1,1,894,High
R17,12,4,492,Medium
R18,12,7,306,Low
R19,17,9,114,Low
R20,10,8,957,Low
R21,16,8,653,High
R22,15,0,991,High
R23,15,8,560,Medium
R24,19,6,790,High
R25,12,8,674,Low
R26,3,7,963,Medium
R27,5,0,842,Low
R28,19,7,340,Low
R29,7,7,663,High
R30,9,2,195,Medium
R31,7,0,999,High
R32,18,7,833,High
R33,4,2,584,Medium
R34,14,2,506,Low
R35,18,0,330,Low
R36,9,4,848,Medium
R37,2,9,754,Low
R38,15,6,270,Medium
R39,7,9,640,Medium
R40,12,8,135,High
R41,8,6,624,Medium
R42,15,8,259,High
R43,3,7,938,Low
R44,14,1,798,Low
R45,17,0,342,Low
R46,4,6,185,Low
R47,18,6,895,High
R48,8,7,677,Low
R49,4,4,781,Medium
R50,2,2,656,Medium
